trait	locus_id	chr	lead_SNP	lead_pos	lead_neg_log10p	class	n_SNPs	member_SNPs	span_start	span_end	interval_start	interval_end
betaglucan	betaglucan_1H_1	1H	1H:479493867	479493867	6.9044	significant	1	1H:479493867	479493867	479493867	479293867	479693867
betaglucan	betaglucan_1H_2	1H	1H:483379118	483379118	6.886	significant	1	1H:483379118	483379118	483379118	483179118	483579118
betaglucan	betaglucan_2H_1	2H	2H:41996626	41996626	8.906	significant	1	2H:41996626	41996626	41996626	41796626	42196626
betaglucan	betaglucan_2H_2	2H	2H:602246902	602246902	7.0568	significant	1	2H:602246902	602246902	602246902	602046902	602446902
betaglucan	betaglucan_3H_1	3H	3H:537247620	537247620	7.9751	significant	2	3H:537247620,3H:537301368	537247620	537301368	537047620	537501368
betaglucan	betaglucan_4H_1	4H	4H:34858354	34858354	7.9777	significant	4	4H:34825152,4H:34858354,4H:34861659,4H:34971609	34825152	34971609	34625152	35171609
betaglucan	betaglucan_4H_2	4H	4H:528254769	528254769	6.8965	significant	1	4H:528254769	528254769	528254769	528054769	528454769
betaglucan	betaglucan_5H_1	5H	5H:224439424	224439424	6.681	marginal	1	5H:224439424	224439424	224439424	224239424	224639424
betaglucan	betaglucan_6H_1	6H	6H:475144663	475144663	7.1682	significant	1	6H:475144663	475144663	475144663	474944663	475344663
betaglucan	betaglucan_7H_1	7H	7H:144534576	144534576	6.769	marginal	1	7H:144534576	144534576	144534576	144334576	144734576
fiber	fiber_1H_1	1H	1H:344520079	344520079	6.548	marginal	1	1H:344520079	344520079	344520079	344320079	344720079
fiber	fiber_4H_1	4H	4H:24707376	24707376	6.9727	significant	1	4H:24707376	24707376	24707376	24507376	24907376
fiber	fiber_7H_1	7H	7H:14817657	14817657	6.731	marginal	1	7H:14817657	14817657	14817657	14617657	15017657
fiber	fiber_7H_2	7H	7H:573606306	573606306	7.1456	significant	1	7H:573606306	573606306	573606306	573406306	573806306
protein	protein_3H_1	3H	3H:106623911	106623911	6.84	significant	1	3H:106623911	106623911	106623911	106423911	106823911
starch	starch_3H_1	3H	3H:546433616	546433616	6.282	marginal	1	3H:546433616	546433616	546433616	546233616	546633616
starch	starch_6H_1	6H	6H:525776080	525776080	6.444	marginal	1	6H:525776080	525776080	525776080	525576080	525976080
starch	starch_7H_1	7H	7H:151110354	151110354	6.362	marginal	1	7H:151110354	151110354	151110354	150910354	151310354
